Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,10000,1,0.0,10000-0,5.0443701139631365,1,Bernoulli,Reg,5.093405653861367,0.04903553989823,0.0024044841731109,0.0097208449797322
1,0.35,2,10000,1,0.0,10000-0,5.0443701139631365,1,Bernoulli,VIM,5.093417396094817,0.0490472821316805,0.0024056358845046,0.0097231727695623
2,0.35,2,10000,1,0.0,10000-0,5.0443701139631365,1,Bernoulli,SNIPE(1),5.096687929730512,0.0523178157673758,0.002737153846669,0.0103715259953976
3,0.35,2,10000,1,0.0,10000-0,5.0443701139631365,1,Bernoulli,Lin's,5.047240312981627,0.0028701990184902,8.238042405742581e-06,0.000568990568425
4,0.35,2,10000,1,0.0,10000-0,5.0443701139631365,1,Bernoulli,DM,5.050159998749686,0.0057898847865498,3.352276584152138e-05,0.0011477914299989
5,0.35,2,10000,1,0.2,10000-0,5.042238097361918,1,Bernoulli,Reg,5.087149189851937,0.0449110924900191,0.002017006228647,0.0089069757561659
6,0.35,2,10000,1,0.2,10000-0,5.042238097361918,1,Bernoulli,VIM,5.087255210311337,0.0450171129494192,0.0020265404583007,0.0089280022244431
7,0.35,2,10000,1,0.2,10000-0,5.042238097361918,1,Bernoulli,SNIPE(1),5.093764365644978,0.0515262682830597,0.0026549563231778,0.010218928041105
8,0.35,2,10000,1,0.2,10000-0,5.042238097361918,1,Bernoulli,Lin's,5.0410198335609335,-0.0012182638009843,1.4841666887887912e-06,-0.000241611716357
9,0.35,2,10000,1,0.2,10000-0,5.042238097361918,1,Bernoulli,DM,5.047272446146402,0.0050343487844841,2.53446676838372e-05,0.0009984353549504
10,0.35,2,10000,1,0.4,10000-0,5.038615529208298,1,Bernoulli,Reg,5.0795905355952105,0.0409750063869127,0.0016789511484075,0.0081321954710346
11,0.35,2,10000,1,0.4,10000-0,5.038615529208298,1,Bernoulli,VIM,5.0797903949803365,0.0411748657720387,0.0016953695713454,0.0081718610069279
12,0.35,2,10000,1,0.4,10000-0,5.038615529208298,1,Bernoulli,SNIPE(1),5.0894276003875545,0.0508120711792567,0.0025818665775258,0.0100845303406669
