Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,0.01,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Reg,5.03446715509098,0.031997864027784,0.0010238633023405,0.0063964138840287
1,0.35,0.01,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,VIM,5.034942118033676,0.0324728269704799,0.0010544844914547,0.0064913595828547
2,0.35,0.01,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,SNIPE(1),5.052135407654279,0.0496661165910827,0.002466723137239,0.0099283201357797
3,0.35,0.01,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Lin's,4.988724016902526,-0.0137452741606702,0.0001889325617519,-0.0027476978589805
4,0.35,0.01,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,DM,5.006037944354892,0.0035686532916958,1.2735286316331744e-05,0.000713378350582
5,0.35,0.1,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Reg,5.03446715509098,0.031997864027784,0.0010238633023405,0.0063964138840287
6,0.35,0.1,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,VIM,5.034942118033676,0.0324728269704799,0.0010544844914547,0.0064913595828547
7,0.35,0.1,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,SNIPE(1),5.052135407654279,0.0496661165910827,0.002466723137239,0.0099283201357797
8,0.35,0.1,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Lin's,4.988724016902526,-0.0137452741606702,0.0001889325617519,-0.0027476978589805
9,0.35,0.1,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,DM,5.006037944354892,0.0035686532916958,1.2735286316331744e-05,0.000713378350582
10,0.35,0.25,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Reg,5.03446715509098,0.031997864027784,0.0010238633023405,0.0063964138840287
11,0.35,0.25,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,VIM,5.034942118033676,0.0324728269704799,0.0010544844914547,0.0064913595828547
12,0.35,0.25,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,SNIPE(1),5.052135407654279,0.0496661165910827,0.002466723137239,0.0099283201357797
