Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,5000,1,1,5000-0,5.004068224950669,1,Bernoulli,Reg,5.155143751943645,0.151075526992976,0.0228238148562054,0.0301905410161479
1,0.35,2,5000,1,1,5000-0,5.004068224950669,1,Bernoulli,VIM,5.157868694046047,0.153800469095378,0.0236545842939583,0.0307350863700293
2,0.35,2,5000,1,1,5000-0,5.004068224950669,1,Bernoulli,SNIPE(1),5.109317331813149,0.1052491068624803,0.0110773744953498,0.0210327082148281
3,0.35,2,5000,1,1,5000-0,5.004068224950669,1,Bernoulli,Lin's,5.157579082376308,0.1535108574256387,0.0235655833475547,0.0306772111259838
4,0.35,2,6000,1,1,6000-0,4.978827140863659,1,Bernoulli,Reg,4.947825086595826,-0.0310020542678328,0.0009611273688256,-0.0062267785947786
5,0.35,2,6000,1,1,6000-0,4.978827140863659,1,Bernoulli,VIM,4.949881465824479,-0.0289456750391803,0.0008378521034738,-0.0058137537657431
6,0.35,2,6000,1,1,6000-0,4.978827140863659,1,Bernoulli,SNIPE(1),4.819323797408067,-0.1595033434555919,0.0254413165735125,-0.0320363288266166
7,0.35,2,6000,1,1,6000-0,4.978827140863659,1,Bernoulli,Lin's,4.948633393940476,-0.0301937469231834,0.0009116623532612,-0.0060644296475707
8,0.35,2,7000,1,1,7000-0,4.967981977378511,1,Bernoulli,Reg,4.954382054101239,-0.0135999232772725,0.0001849579131476,-0.0027375146164376
9,0.35,2,7000,1,1,7000-0,4.967981977378511,1,Bernoulli,VIM,4.953739726493505,-0.0142422508850064,0.0002028417102714,-0.0028668080822067
10,0.35,2,7000,1,1,7000-0,4.967981977378511,1,Bernoulli,SNIPE(1),5.016551835684513,0.0485698583060019,0.0023590311358651,0.0097765769938704
11,0.35,2,7000,1,1,7000-0,4.967981977378511,1,Bernoulli,Lin's,4.958895872983896,-0.0090861043946155,8.255729306985194e-05,-0.0018289326402528
12,0.35,2,8000,1,1,8000-0,4.98197865243568,1,Bernoulli,Reg,5.014076918603537,0.0320982661678579,0.0010302986909826,0.0064428750918402
13,0.35,2,8000,1,1,8000-0,4.98197865243568,1,Bernoulli,VIM,5.013949096214146,0.0319704437784666,0.001022109275392,0.0064172181393905
14,0.35,2,8000,1,1,8000-0,4.98197865243568,1,Bernoulli,SNIPE(1),5.050391685397028,0.0684130329613488,0.0046803430789706,0.0137321007844748
15,0.35,2,8000,1,1,8000-0,4.98197865243568,1,Bernoulli,Lin's,5.016627597955607,0.0346489455199279,0.0012005494256429,0.0069548562804435
16,0.35,2,9000,1,1,9000-0,5.071378466486561,1,Bernoulli,Reg,5.206801462498742,0.1354229960121813,0.0183393878489152,0.0267033897996577
17,0.35,2,9000,1,1,9000-0,5.071378466486561,1,Bernoulli,VIM,5.208769644296848,0.1373911778102874,0.018876335740098,0.0270914858195294
18,0.35,2,9000,1,1,9000-0,5.071378466486561,1,Bernoulli,SNIPE(1),5.172112148804176,0.1007336823176148,0.0101472747532661,0.0198631758570767
19,0.35,2,9000,1,1,9000-0,5.071378466486561,1,Bernoulli,Lin's,5.207429873962989,0.1360514074764287,0.0185099854763172,0.0268273031436135
20,0.35,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Reg,5.03446715509098,0.031997864027784,0.0010238633023405,0.0063964138840287
21,0.35,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,VIM,5.034942118033676,0.0324728269704799,0.0010544844914547,0.0064913595828547
22,0.35,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,SNIPE(1),5.05213540765428,0.0496661165910836,0.0024667231372391,0.0099283201357799
23,0.35,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Lin's,5.034758148518975,0.0322888574557787,0.0010425703157995,0.0064545838419162
0,0.35,2,5000,1,1,5000-0,5.004068224950669,2,Bernoulli,Reg,5.095402804039966,0.0913345790892972,0.008342005337419,0.0182520651165177
1,0.35,2,5000,1,1,5000-0,5.004068224950669,2,Bernoulli,VIM,5.089824434879706,0.0857562099290367,0.007354127541393,0.0171372983088938
2,0.35,2,5000,1,1,5000-0,5.004068224950669,2,Bernoulli,SNIPE(1),5.63656079998183,0.6324925750311614,0.4000468574695493,0.1263956737994707
3,0.35,2,5000,1,1,5000-0,5.004068224950669,2,Bernoulli,Lin's,5.1049528362220045,0.1008846112713355,0.0101777047913684,0.0201605187491883
4,0.35,2,6000,1,1,6000-0,4.978827140863659,2,Bernoulli,Reg,5.167452939874688,0.1886257990110289,0.035579692052549,0.0378855890502574
5,0.35,2,6000,1,1,6000-0,4.978827140863659,2,Bernoulli,VIM,5.165026144882096,0.1861990040184364,0.0346700690974577,0.0373981660239237
6,0.35,2,6000,1,1,6000-0,4.978827140863659,2,Bernoulli,SNIPE(1),5.3388566605802295,0.3600295197165701,0.1296212550673441,0.0723121147873627
7,0.35,2,6000,1,1,6000-0,4.978827140863659,2,Bernoulli,Lin's,5.169571773977021,0.1907446331133613,0.0363835150615508,0.0383111579728943
8,0.35,2,7000,1,1,7000-0,4.967981977378511,2,Bernoulli,Reg,5.0090428283994335,0.041060851020922,0.0016859934865623,0.0082650966142572
9,0.35,2,7000,1,1,7000-0,4.967981977378511,2,Bernoulli,VIM,5.009713657464549,0.0417316800860376,0.0017415331228033,0.0084001271091684
10,0.35,2,7000,1,1,7000-0,4.967981977378511,2,Bernoulli,SNIPE(1),4.921139348198416,-0.0468426291800954,0.0021942319085039,-0.0094289048135422
11,0.35,2,7000,1,1,7000-0,4.967981977378511,2,Bernoulli,Lin's,5.009612540081493,0.0416305627029816,0.0017331037509668,0.0083797732947793
12,0.35,2,8000,1,1,8000-0,4.98197865243568,2,Bernoulli,Reg,5.143327274822401,0.1613486223867211,0.0260333779460927,0.032386453986076
13,0.35,2,8000,1,1,8000-0,4.98197865243568,2,Bernoulli,VIM,5.142425493888376,0.1604468414526962,0.0257431889321466,0.0322054453955265
14,0.35,2,8000,1,1,8000-0,4.98197865243568,2,Bernoulli,SNIPE(1),5.136644023291559,0.1546653708558798,0.0239213769419868,0.0310449686050469
15,0.35,2,8000,1,1,8000-0,4.98197865243568,2,Bernoulli,Lin's,5.144624416053462,0.1626457636177827,0.0264536444228116,0.0326468206639676
16,0.35,2,9000,1,1,9000-0,5.071378466486561,2,Bernoulli,Reg,5.264432548329422,0.1930540818428614,0.0372698785161902,0.0380673781534212
17,0.35,2,9000,1,1,9000-0,5.071378466486561,2,Bernoulli,VIM,5.263093425774222,0.191714959287661,0.0367546256146695,0.0378033232097703
18,0.35,2,9000,1,1,9000-0,5.071378466486561,2,Bernoulli,SNIPE(1),5.310882064854973,0.2395035983684126,0.0573619736314179,0.0472265282410169
19,0.35,2,9000,1,1,9000-0,5.071378466486561,2,Bernoulli,Lin's,5.266366320790237,0.194987854303676,0.0380202633259516,0.0384486891665104
20,0.35,2,10000,1,1,10000-0,5.002469291063196,2,Bernoulli,Reg,5.129510389178308,0.1270410981151117,0.0161394406102934,0.0253956777589955
21,0.35,2,10000,1,1,10000-0,5.002469291063196,2,Bernoulli,VIM,5.127877473450652,0.1254081823874555,0.0157272122097253,0.0250692558196198
22,0.35,2,10000,1,1,10000-0,5.002469291063196,2,Bernoulli,SNIPE(1),5.19093607307838,0.1884667820151833,0.0355197279231586,0.0376747504181335
23,0.35,2,10000,1,1,10000-0,5.002469291063196,2,Bernoulli,Lin's,5.13125551187642,0.1287862208132235,0.0165858906713523,0.0257445300150662
0,0.35,2,5000,1,1,5000-0,5.004068224950669,3,Bernoulli,Reg,5.132279897372033,0.1282116724213642,0.0164382329450832,0.0256214876891747
1,0.35,2,5000,1,1,5000-0,5.004068224950669,3,Bernoulli,VIM,5.132297161029995,0.128228936079326,0.0164426600480358,0.0256249376137532
2,0.35,2,5000,1,1,5000-0,5.004068224950669,3,Bernoulli,SNIPE(1),4.872074364629174,-0.1319938603214945,0.0174223791625702,-0.0263773102979217
