Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.1,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Reg,5.037259920139528,0.0347906290763315,0.0012103878715268,0.0069546911839087
1,0.1,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,VIM,5.037154219010414,0.0346849279472181,0.0012030442267037,0.0069335613932067
2,0.1,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,SNIPE(1),5.342735923261513,0.3402666321983165,0.1157813809875844,0.0680197343352403
3,0.1,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Lin's,5.031036081708424,0.028566790645228,0.0008160615277682,0.0057105379329888
4,0.1,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,DM,5.32518219350524,0.3227129024420438,0.1041436174025681,0.0645107213388722
5,0.15,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Reg,5.002556907011597,8.761594840045461e-05,7.676554414111126e-09,1.7514539980680865e-05
6,0.15,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,VIM,4.995804721081864,-0.0066645699813321,4.4416493036073424e-05,-0.0013322560506744
7,0.15,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,SNIPE(1),4.982413961972595,-0.0200553290906011,0.0004022162249323,-0.0040090858981242
8,0.15,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Lin's,5.000069408932828,-0.0023998821303683,5.759434239661316e-06,-0.0004797395027802
9,0.15,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,DM,4.97129135483329,-0.0311779362299065,0.0009720637075561,-0.0062325092700929
10,0.2,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,Reg,5.008729366919768,0.0062600758565718,3.918854973003372e-05,0.0012513971585503
11,0.2,2,10000,1,1,10000-0,5.002469291063196,1,Bernoulli,VIM,5.0052930984259785,0.0028238073627822,7.97388802210299e-06,0.00056448269814
