Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,10000,1,0.0,10000-0,15.355574144668903,1,Bernoulli,Reg,18.044946004131205,2.6893718594623017,7.232720998467719,0.1751397788272208
1,0.35,2,10000,1,0.0,10000-0,15.355574144668903,1,Bernoulli,VIM,17.993880141859297,2.6383059971903933,6.960658534810795,0.171814220187029
2,0.35,2,10000,1,0.0,10000-0,15.355574144668903,1,Bernoulli,SNIPE(1),18.10601508366396,2.750440938995059,7.56492535890002,0.1791167762978076
3,0.35,2,10000,1,0.0,10000-0,15.355574144668903,1,Bernoulli,Lin's,5.014128807273697,-10.341445337395209,106.94549166633308,-0.6734652341856925
4,0.35,2,10000,1,0.0,10000-0,15.355574144668903,1,Bernoulli,DM,5.022787088771457,-10.332787055897446,106.76648834252182,-0.6729013815145914
5,0.35,2,10000,1,0.2,10000-0,15.333983052695933,1,Bernoulli,Reg,17.960370598263257,2.626387545567324,6.897911539511153,0.1712788866755378
6,0.35,2,10000,1,0.2,10000-0,15.333983052695933,1,Bernoulli,VIM,17.912323134640886,2.578340081944953,6.647837578163906,0.1681454892107529
7,0.35,2,10000,1,0.2,10000-0,15.333983052695933,1,Bernoulli,SNIPE(1),17.97615029456265,2.642167241866717,6.981047733993577,0.1723079536991001
8,0.35,2,10000,1,0.2,10000-0,15.333983052695933,1,Bernoulli,Lin's,4.97370377832753,-10.360279274368402,107.33538664290748,-0.6756417584892868
9,0.35,2,10000,1,0.2,10000-0,15.333983052695933,1,Bernoulli,DM,4.990040083999974,-10.34394296869596,106.99715613963455,-0.6745763923925393
10,0.35,2,10000,1,0.4,10000-0,15.299216480323178,1,Bernoulli,Reg,17.782628430837644,2.4834119505144656,6.167334915958063,0.1623228191919803
11,0.35,2,10000,1,0.4,10000-0,15.299216480323178,1,Bernoulli,VIM,17.73933011128462,2.440113630961441,5.95415453200383,0.1594927187349595
12,0.35,2,10000,1,0.4,10000-0,15.299216480323178,1,Bernoulli,SNIPE(1),17.75129426465986,2.452077784336684,6.0126854604375,0.160274729590916
13,0.35,2,10000,1,0.4,10000-0,15.299216480323178,1,Bernoulli,Lin's,4.932212089494015,-10.367004390829162,107.47478003947111,-0.6776166873749715
14,0.35,2,10000,1,0.4,10000-0,15.299216480323178,1,Bernoulli,DM,4.955862763979558,-10.34335371634362,106.9849661013994,-0.6760708124920349
15,0.35,2,10000,1,0.6,10000-0,15.248341408997732,1,Bernoulli,Reg,17.490846019077093,2.242504610079361,5.02882692622719,0.147065477479151
16,0.35,2,10000,1,0.6,10000-0,15.248341408997732,1,Bernoulli,VIM,17.45442242723111,2.2060810182333768,4.866793459009612,0.1446767854326513
17,0.35,2,10000,1,0.6,10000-0,15.248341408997732,1,Bernoulli,SNIPE(1),17.41006698234508,2.161725573347347,4.673057454463916,0.1417679153007262
18,0.35,2,10000,1,0.6,10000-0,15.248341408997732,1,Bernoulli,Lin's,4.889282566908731,-10.359058842089,107.3101000938623,-0.6793564338726266
19,0.35,2,10000,1,0.6,10000-0,15.248341408997732,1,Bernoulli,DM,4.9198205441536125,-10.32852086484412,106.67834325552032,-0.6773537257468194
20,0.35,2,10000,1,0.8,10000-0,15.172090223369102,1,Bernoulli,Reg,17.02000951637682,1.8479192930077184,3.414805713470147,0.121797278147043
21,0.35,2,10000,1,0.8,10000-0,15.172090223369102,1,Bernoulli,VIM,16.99380581225873,1.8217155888896297,3.3186476868034904,0.1200701789977295
22,0.35,2,10000,1,0.8,10000-0,15.172090223369102,1,Bernoulli,SNIPE(1),16.885851841230608,1.7137616178615058,2.936978882855286,0.1129548791650244
23,0.35,2,10000,1,0.8,10000-0,15.172090223369102,1,Bernoulli,Lin's,4.843720479709766,-10.328369743659335,106.6752215617376,-0.6807479781362535
24,0.35,2,10000,1,0.8,10000-0,15.172090223369102,1,Bernoulli,DM,4.88052385438174,-10.29156636898736,105.9163383272717,-0.6783222494376931
