Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,1,Bernoulli,Reg,4.655941490161851,0.7068294993908477,0.4996079412091164,0.1789844149881528
1,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,1,Bernoulli,VIM,4.63969317073365,0.6905811799626465,0.4769023661186011,0.1748699914250396
2,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,1,Bernoulli,SNIPE(2),4.034615253814879,0.0855032630438756,0.0073108079911501,0.0216512631811139
3,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,1,Bernoulli,Lin's,3.996233021519037,0.0471210307480336,0.0022203915387571,0.0119320573481214
4,0.35,0.01,10000,2,1,10000-0,3.9491119907710033,1,Bernoulli,DM,4.013112984046304,0.0640009932753002,0.004096127140225,0.0162064265143326
5,0.35,0.1,10000,2,1,10000-0,4.325014546846018,1,Bernoulli,Reg,4.991103674839348,0.6660891279933301,0.4436747264309149,0.1540085289375662
6,0.35,0.1,10000,2,1,10000-0,4.325014546846018,1,Bernoulli,VIM,4.973969887086819,0.6489553402408017,0.4211430336270547,0.1500469728394433
7,0.35,0.1,10000,2,1,10000-0,4.325014546846018,1,Bernoulli,SNIPE(2),4.318249621853829,-0.006764924992189,4.5764210149944136e-05,-0.0015641392459875
8,0.35,0.1,10000,2,1,10000-0,4.325014546846018,1,Bernoulli,Lin's,3.995676212370342,-0.3293383344756755,0.1084637385552119,-0.0761473356698517
9,0.35,0.1,10000,2,1,10000-0,4.325014546846018,1,Bernoulli,DM,4.013349063979325,-0.3116654828666929,0.0971353732105288,-0.0720611409489876
10,0.35,0.25,10000,2,1,10000-0,4.937901199331723,1,Bernoulli,Reg,5.640805618945732,0.7029044196140095,0.4940746231129075,0.1423488221492033
11,0.35,0.25,10000,2,1,10000-0,4.937901199331723,1,Bernoulli,VIM,5.621586329168767,0.6836851298370439,0.4674253567602955,0.1384566240267365
12,0.35,0.25,10000,2,1,10000-0,4.937901199331723,1,Bernoulli,SNIPE(2),4.884040790148014,-0.0538604091837084,0.0029009436774365,-0.0109075510038551
13,0.35,0.25,10000,2,1,10000-0,4.937901199331723,1,Bernoulli,Lin's,3.9907220572939215,-0.9471791420378004,0.8971483271114636,-0.1918181639936392
14,0.35,0.25,10000,2,1,10000-0,4.937901199331723,1,Bernoulli,DM,4.009748900143498,-0.9281522991882252,0.8614666904883886,-0.187964939297254
15,0.35,0.5,10000,2,1,10000-0,5.94778481398703,1,Bernoulli,Reg,6.711327275494396,0.7635424615073658,0.5829970905247273,0.1283742578769479
16,0.35,0.5,10000,2,1,10000-0,5.94778481398703,1,Bernoulli,VIM,6.688646609029592,0.7408617950425613,0.5488761993536861,0.1245609614692722
17,0.35,0.5,10000,2,1,10000-0,5.94778481398703,1,Bernoulli,SNIPE(2),5.814473958361302,-0.1333108556257283,0.0177717842276637,-0.0224135303806266
18,0.35,0.5,10000,2,1,10000-0,5.94778481398703,1,Bernoulli,Lin's,3.975789765334103,-1.971995048652928,3.8887644719116623,-0.3315511758286062
19,0.35,0.5,10000,2,1,10000-0,5.94778481398703,1,Bernoulli,DM,3.997073884598629,-1.9507109293884015,3.805273130035362,-0.3279726806526419
20,0.35,0.75,10000,2,1,10000-0,6.951394484277087,1,Bernoulli,Reg,7.77164017072999,0.8202456864529024,0.6728029861445931,0.1179972864880799
21,0.35,0.75,10000,2,1,10000-0,6.951394484277087,1,Bernoulli,VIM,7.745494835771703,0.7941003514946159,0.6305953682438725,0.114236122448631
22,0.35,0.75,10000,2,1,10000-0,6.951394484277087,1,Bernoulli,SNIPE(2),6.734433564791831,-0.2169609194852562,0.0470720405838878,-0.0312111361218222
23,0.35,0.75,10000,2,1,10000-0,6.951394484277087,1,Bernoulli,Lin's,3.9575035758636754,-2.993890908413412,8.963382771480486,-0.4306892545352017
24,0.35,0.75,10000,2,1,10000-0,6.951394484277087,1,Bernoulli,DM,3.981043909340268,-2.9703505749368198,8.822982538027492,-0.4273028356620049
25,0.35,1.0,10000,2,1,10000-0,7.951966771086779,1,Bernoulli,Reg,8.826157261935121,0.874190490848342,0.7642090142896651,0.109933871206163
26,0.35,1.0,10000,2,1,10000-0,7.951966771086779,1,Bernoulli,VIM,8.796549818766715,0.8445830476799365,0.7133205244283299,0.1062105856315731
27,0.35,1.0,10000,2,1,10000-0,7.951966771086779,1,Bernoulli,SNIPE(2),7.648470007067601,-0.3034967640191777,0.0921102857701124,-0.0381662515395168
28,0.35,1.0,10000,2,1,10000-0,7.951966771086779,1,Bernoulli,Lin's,3.937862649007141,-4.014104122079639,16.113031902896747,-0.504793875230321
29,0.35,1.0,10000,2,1,10000-0,7.951966771086779,1,Bernoulli,DM,3.963658619236788,-3.988308151849991,15.906601914113091,-0.5015499016358336
30,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,1,Bernoulli,Reg,10.226624289707294,0.9430790584987748,0.8893981105789354,0.1015860896900058
31,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,1,Bernoulli,VIM,10.19240790813402,0.9088626769255016,0.8260313655081885,0.0979003876525721
32,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,1,Bernoulli,SNIPE(2),8.861530353681776,-0.4220148775267436,0.1780965568539124,-0.0454583746851423
33,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,1,Bernoulli,Lin's,3.910746839306186,-5.372798391902333,28.8669625600283,-0.5787442467389056
34,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,1,Bernoulli,DM,3.939549829327964,-5.343995401880555,28.55828685532052,-0.5756416615406398
35,0.35,2.0,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Reg,13.01651212178709,1.073897357274772,1.1532555339617394,0.0899214601199292
