Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,5000,2,1,5000-0,7.928296069840269,1,Bernoulli,Reg,11.1738885162181,3.24559244637783,10.533870327984827,0.4093682195754855
1,0.35,2,5000,2,1,5000-0,7.928296069840269,1,Bernoulli,VIM,11.706870438507623,3.7785743686673534,14.277624259549896,0.4765934994583875
2,0.35,2,5000,2,1,5000-0,7.928296069840269,1,Bernoulli,SNIPE(2),8.143931133593908,0.2156350637536386,0.0464984807200357,0.0271981598383955
3,0.35,2,5000,2,1,5000-0,7.928296069840269,1,Bernoulli,Lin's,3.8088810070076633,-4.119415062832606,16.96958045989216,-0.5195839088935031
4,0.35,2,5000,2,1,5000-0,7.928296069840269,1,Bernoulli,DM,3.7260925668328175,-4.202203503007451,17.658514280688088,-0.5300260567958472
5,0.35,2,6000,2,1,6000-0,8.033379917120547,1,Bernoulli,Reg,10.23535036669072,2.201970449570174,4.848673860780275,0.2741026158712334
6,0.35,2,6000,2,1,6000-0,8.033379917120547,1,Bernoulli,VIM,10.177793941921037,2.14441402480049,4.598511509761036,0.2669379572389407
7,0.35,2,6000,2,1,6000-0,8.033379917120547,1,Bernoulli,SNIPE(2),10.03668213463068,2.003302217510134,4.01321977468102,0.2493722739591519
8,0.35,2,6000,2,1,6000-0,8.033379917120547,1,Bernoulli,Lin's,4.0556605110017,-3.977719406118847,15.822251673814469,-0.495148922017447
9,0.35,2,6000,2,1,6000-0,8.033379917120547,1,Bernoulli,DM,3.798339101361431,-4.235040815759116,17.935570711145637,-0.5271804470162675
10,0.35,2,7000,2,1,7000-0,7.897598653441884,1,Bernoulli,Reg,7.88615603126788,-0.0114426221740036,0.0001309336022169,-0.0014488735976747
11,0.35,2,7000,2,1,7000-0,7.897598653441884,1,Bernoulli,VIM,7.516373959575593,-0.3812246938662911,0.1453322672134473,-0.0482709631870376
12,0.35,2,7000,2,1,7000-0,7.897598653441884,1,Bernoulli,SNIPE(2),7.70974217911402,-0.1878564743278641,0.0352900549468954,-0.0237865308901198
13,0.35,2,7000,2,1,7000-0,7.897598653441884,1,Bernoulli,Lin's,3.451948036191643,-4.445650617250241,19.763809410657448,-0.5629116915573779
14,0.35,2,7000,2,1,7000-0,7.897598653441884,1,Bernoulli,DM,3.590001023315279,-4.307597630126605,18.55539734307234,-0.5454313164229095
15,0.35,2,8000,2,1,8000-0,8.086194431916443,1,Bernoulli,Reg,12.44930390535474,4.363109473438296,19.036724277207007,0.5395751376218432
