Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,5000,2,1,5000-0,11.769629214038908,1,Bernoulli,Reg,12.305044844466693,0.5354156304277851,0.2866698973063825,0.0454912912455336
1,0.35,2,5000,2,1,5000-0,11.769629214038908,1,Bernoulli,VIM,12.866482954774122,1.0968537407352148,1.2030881285648338,0.0931935680205523
2,0.35,2,5000,2,1,5000-0,11.769629214038908,1,Bernoulli,SNIPE(2),9.236650000833244,-2.532979213205662,6.415983694531975,-0.2152131700278462
3,0.35,2,5000,2,1,5000-0,11.769629214038908,1,Bernoulli,Lin's,4.039944368297828,-7.72968484574108,59.7480278144793,-0.6567483737313534
4,0.35,2,5000,2,1,5000-0,11.769629214038908,1,Bernoulli,DM,3.956176838857706,-7.8134523751812015,61.05003801922476,-0.6638656352794235
5,0.35,2,6000,2,1,6000-0,11.932794852056473,1,Bernoulli,Reg,11.2105476122438,-0.7222472398126722,0.5216410754170236,-0.0605262429101596
6,0.35,2,6000,2,1,6000-0,11.932794852056473,1,Bernoulli,VIM,11.154157764784175,-0.7786370872722959,0.6062757136758848,-0.0652518623613232
7,0.35,2,6000,2,1,6000-0,11.932794852056473,1,Bernoulli,SNIPE(2),11.015159867748268,-0.9176349843082044,0.8420539644263184,-0.0769002564516611
8,0.35,2,6000,2,1,6000-0,11.932794852056473,1,Bernoulli,Lin's,4.242373161321414,-7.690421690735059,59.142585781328286,-0.6444778265344693
9,0.35,2,6000,2,1,6000-0,11.932794852056473,1,Bernoulli,DM,3.98067648150544,-7.952118370551032,63.2361865792552,-0.6664087055163427
10,0.35,2,7000,2,1,7000-0,11.844113420911054,1,Bernoulli,Reg,8.888730855299485,-2.9553825656115684,8.734286109120816,-0.2495233252658466
11,0.35,2,7000,2,1,7000-0,11.844113420911054,1,Bernoulli,VIM,8.504262793878887,-3.339850627032167,11.154602210887155,-0.281984012508322
12,0.35,2,7000,2,1,7000-0,11.844113420911054,1,Bernoulli,SNIPE(2),8.719327652114226,-3.124785768796828,9.764286100875184,-0.2638260592202661
13,0.35,2,7000,2,1,7000-0,11.844113420911054,1,Bernoulli,Lin's,3.646572843422752,-8.1975405774883,67.19967151956722,-0.6921193918166433
14,0.35,2,7000,2,1,7000-0,11.844113420911054,1,Bernoulli,DM,3.787429363928828,-8.056684056982226,64.91015799403158,-0.6802268579054609
15,0.35,2,8000,2,1,8000-0,12.101909802481217,1,Bernoulli,Reg,13.80222161712008,1.700311814638864,2.891060267000507,0.1404994618527279
16,0.35,2,8000,2,1,8000-0,12.101909802481217,1,Bernoulli,VIM,13.83784389188708,1.7359340894058644,3.0134671627613674,0.1434429869118633
17,0.35,2,8000,2,1,8000-0,12.101909802481217,1,Bernoulli,SNIPE(2),12.364794415878562,0.262884613397345,0.0691083199610715,0.0217225725268128
18,0.35,2,8000,2,1,8000-0,12.101909802481217,1,Bernoulli,Lin's,3.9576490327458975,-8.144260769735318,66.32898348544971,-0.6729731837916628
19,0.35,2,8000,2,1,8000-0,12.101909802481217,1,Bernoulli,DM,4.031524655308248,-8.070385147172969,65.13111642371007,-0.6668687239363099
20,0.35,2,9000,2,1,9000-0,11.84797375102123,1,Bernoulli,Reg,13.896703589381456,2.048729838360225,4.197293950587516,0.1729181614859364
21,0.35,2,9000,2,1,9000-0,11.84797375102123,1,Bernoulli,VIM,13.25798198709159,1.4100082360703592,1.9881232257862456,0.1190083862186835
22,0.35,2,9000,2,1,9000-0,11.84797375102123,1,Bernoulli,SNIPE(2),17.90861390727445,6.06064015625322,36.73135910358905,0.5115338946231903
23,0.35,2,9000,2,1,9000-0,11.84797375102123,1,Bernoulli,Lin's,4.355223726663919,-7.492750024357312,56.141302927506494,-0.632407716442778
24,0.35,2,9000,2,1,9000-0,11.84797375102123,1,Bernoulli,DM,4.281617047365807,-7.566356703655424,57.249753766951365,-0.6386203128617874
