Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.1,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Reg,7.759714443722868,-4.182900320789449,17.49665509366048,-0.3502499580928465
1,0.1,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,VIM,8.40625263634493,-3.5363621281673865,12.505857101536566,-0.2961128863233324
2,0.1,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,SNIPE(2),-17.70979404531645,-29.652408809828767,879.2653482252107,-2.482907587201205
3,0.1,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Lin's,3.8152665343992576,-8.127348230113059,66.05378925352187,-0.6805333999605858
4,0.1,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,DM,4.180057301482229,-7.762557463030088,60.25729836684412,-0.6499880985943429
5,0.15,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Reg,8.393746756625404,-3.548868007886913,12.594464137403229,-0.2971600506140778
6,0.15,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,VIM,7.662128765832574,-4.280485998679743,18.32256038489332,-0.358421173510451
7,0.15,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,SNIPE(2),-3.6800049849803855,-15.622619749492705,244.06624783723944,-1.3081406423587891
8,0.15,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Lin's,3.6783927385479305,-8.264222025964386,68.2973656944349,-0.6919943570918542
9,0.15,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,DM,3.637280173993787,-8.30533459051853,68.9785826604636,-0.6954368665728022
10,0.2,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Reg,11.08808129389826,-0.8545334706140579,0.730227452399707,-0.0715532977881291
11,0.2,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,VIM,11.162268825004196,-0.7803459395081198,0.6089397853068101,-0.0653412971024512
12,0.2,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,SNIPE(2),6.728782143184434,-5.213832621327883,27.184050603222783,-0.4365737926020083
13,0.2,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Lin's,3.934881899189567,-8.007732865322751,64.12378564237012,-0.6705175560981725
14,0.2,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,DM,3.762947182647809,-8.179667581864509,66.90696174980518,-0.68491429583499
15,0.25,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Reg,15.085921846024014,3.143307081511697,9.880379408681582,0.2632009106458066
16,0.25,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,VIM,14.98599464438262,3.0433798798703027,9.262161093199378,0.2548336306479346
17,0.25,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,SNIPE(2),16.247375018817028,4.304760254304711,18.530960847041555,0.3604537481269494
18,0.25,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Lin's,3.9851765435144633,-7.9574382209978545,63.320823040997496,-0.6663061965829725
19,0.25,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,DM,4.094685204650191,-7.847929559862126,61.58999837655775,-0.6571366249862117
20,0.3,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Reg,15.893445923593656,3.9508311590813374,15.609066847567984,0.3308179353504141
21,0.3,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,VIM,16.154878685407965,4.212263920895648,17.743167339279175,0.3527086826423022
22,0.3,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,SNIPE(2),12.253585771398926,0.3109710068866089,0.0967029671240713,0.0260387706560429
23,0.3,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Lin's,3.926980825760477,-8.01563393875184,64.25038744007034,-0.6711791426589789
24,0.3,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,DM,4.0692478803025445,-7.873366884209773,61.989906093371104,-0.6592665877162526
25,0.4,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Reg,11.44196503767425,-0.5006497268380681,0.2506501489830322,-0.0419212824586586
26,0.4,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,VIM,11.347793382698924,-0.5948213818133947,0.3538124762623963,-0.0498066289118624
27,0.4,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,SNIPE(2),10.288836502007042,-1.6537782625052753,2.734982541534967,-0.1384770667994337
28,0.4,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Lin's,3.8718404921818608,-8.070774272330457,65.13739735491122,-0.6757962499395778
29,0.4,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,DM,4.007666177593494,-7.934948586918823,62.96340907704503,-0.6644230550329445
30,0.5,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Reg,10.692971114367268,-1.2496436501450496,1.561609252347843,-0.1046373574619845
31,0.5,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,VIM,10.295914429194704,-1.6467003353176128,2.7116219943351387,-0.1378844053658007
32,0.5,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,SNIPE(2),10.856477710261702,-1.0861370542506157,1.1796937006162045,-0.0909463359295562
33,0.5,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,Lin's,3.785748981807605,-8.156865782704713,66.53445939705898,-0.6830050155300142
34,0.5,2,10000,2,1,10000-0,11.942614764512316,1,Bernoulli,DM,4.104839063384286,-7.837775701128031,61.430727941193,-0.6562864042486001
0,0.1,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,Reg,21.149195010630297,9.20658024611798,84.7611198282098,0.7709015510971257
1,0.1,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,VIM,16.665531163187943,4.7229163986756255,22.30593930887914,0.3954675330154542
2,0.1,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,SNIPE(2),38.625627983079376,26.68301321856706,711.9831944222244,2.234268938981109
3,0.1,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,Lin's,3.9134682837863415,-8.029146480725975,64.46719320895431,-0.6723105985621106
4,0.1,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,DM,3.5026621201621664,-8.43995264435015,71.23280063887309,-0.7067089419504355
5,0.15,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,Reg,19.012010351715656,7.0693955872033385,49.976353968370034,0.5919470506752146
6,0.15,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,VIM,19.72957982053085,7.786965056018534,60.636824783653736,0.6520318380492045
7,0.15,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,SNIPE(2),24.062748797785307,12.12013403327299,146.89764898450218,1.014864355274037
8,0.15,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,Lin's,3.8462350293773264,-8.096379735134992,65.55136481550456,-0.6779402915342728
9,0.15,2,10000,2,1,10000-0,11.942614764512316,2,Bernoulli,DM,3.4611537104530297,-8.481461054059288,71.93518161152448,-0.7101845970333142
