Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,10000,2,0.0,10000-0,11.976404361081215,1,Bernoulli,Reg,14.555388307879978,2.578983946798761,6.651158197845716,0.2153387501827746
1,0.35,2,10000,2,0.0,10000-0,11.976404361081215,1,Bernoulli,VIM,14.625294962184446,2.648890601103229,7.0166214166130265,0.221175782082903
2,0.35,2,10000,2,0.0,10000-0,11.976404361081215,1,Bernoulli,SNIPE(2),14.26994028546914,2.293535924387923,5.260307036457965,0.1915045497161942
3,0.35,2,10000,2,0.0,10000-0,11.976404361081215,1,Bernoulli,Lin's,4.137359725426453,-7.839044635654764,61.45062079978773,-0.6545407452280664
4,0.35,2,10000,2,0.0,10000-0,11.976404361081215,1,Bernoulli,DM,4.139862188571367,-7.83654217250985,61.411393221525394,-0.6543317957746689
5,0.35,2,10000,2,0.2,10000-0,11.99137952642928,1,Bernoulli,Reg,17.56930422379328,5.577924697364001,31.11324392946328,0.4651612172786395
6,0.35,2,10000,2,0.2,10000-0,11.99137952642928,1,Bernoulli,VIM,15.291921097316695,3.3005415708874146,10.893574661155965,0.2752428578891147
7,0.35,2,10000,2,0.2,10000-0,11.99137952642928,1,Bernoulli,SNIPE(2),17.892869904183147,5.901490377753866,34.82758867872147,0.4921444079679776
8,0.35,2,10000,2,0.2,10000-0,11.99137952642928,1,Bernoulli,Lin's,3.901932974636652,-8.089446551792628,65.43914551430964,-0.6746051639816169
9,0.35,2,10000,2,0.2,10000-0,11.99137952642928,1,Bernoulli,DM,3.908371627016749,-8.083007899412532,65.3350167019654,-0.6740682238934557
10,0.35,2,10000,2,0.4,10000-0,11.750657927384108,1,Bernoulli,Reg,12.145230815113036,0.3945728877289287,0.1556877637307458,0.0335787910912974
11,0.35,2,10000,2,0.4,10000-0,11.750657927384108,1,Bernoulli,VIM,10.13251924737976,-1.6181386800043462,2.618372787726208,-0.1377062195158778
12,0.35,2,10000,2,0.4,10000-0,11.750657927384108,1,Bernoulli,SNIPE(2),12.719767441638892,0.969109514254784,0.9391732506191436,0.0824727875020802
13,0.35,2,10000,2,0.4,10000-0,11.750657927384108,1,Bernoulli,Lin's,3.969865326143748,-7.78079260124036,60.54073350351672,-0.662158038241225
14,0.35,2,10000,2,0.4,10000-0,11.750657927384108,1,Bernoulli,DM,3.981635002093899,-7.769022925290208,60.35771721368483,-0.6611564197767199
15,0.35,2,10000,2,0.6,10000-0,11.37278898642453,1,Bernoulli,Reg,10.37317830011784,-0.9996106863066904,0.9992215241785324,-0.0878949470969614
