Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,0.01,10000,1,1,10000-0,5.05513026849274,1,Bernoulli,Reg,4.505237608350663,-0.5498926601420768,0.3023819376781296,-0.1087791275270212
1,0.35,0.01,10000,1,1,10000-0,5.05513026849274,1,Bernoulli,VIM,4.503133663405797,-0.5519966050869431,0.3047002520275106,-0.1091953274730403
2,0.35,0.01,10000,1,1,10000-0,5.05513026849274,1,Bernoulli,SNIPE(1),2.5378807969406045,-2.517249471552136,6.336544902029506,-0.4979593675837536
3,0.35,0.01,10000,1,1,10000-0,5.05513026849274,1,Bernoulli,Lin's,4.990601836880296,-0.0645284316124445,0.0041639184863619,-0.0127649394150399
4,0.35,0.01,10000,1,1,10000-0,5.05513026849274,1,Bernoulli,DM,5.008099864115273,-0.0470304043774669,0.002211858935908,-0.0093034999850735
5,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,1,Bernoulli,Reg,4.565197115442824,-0.9638819499158098,0.9290684133735037,-0.174329565289602
6,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,1,Bernoulli,VIM,4.645724756126119,-0.8833543092325149,0.7803148356396535,-0.1597651794793456
7,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,1,Bernoulli,SNIPE(1),2.284768429464381,-3.2443106358942524,10.525551502176569,-0.5867723354185416
8,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,1,Bernoulli,Lin's,5.0075022166802166,-0.5215768486784169,0.2720424090773082,-0.0943334039019725
9,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,1,Bernoulli,DM,5.026657141958702,-0.5024219233999316,0.2524277891128867,-0.0908690068383644
10,0.35,0.25,10000,1,1,10000-0,6.318993726801788,1,Bernoulli,Reg,4.665129627263093,-1.653864099538695,2.7352664597429386,-0.2617290301340051
11,0.35,0.25,10000,1,1,10000-0,6.318993726801788,1,Bernoulli,VIM,4.883376577324154,-1.4356171494776344,2.0609965998742883,-0.2271907856766046
12,0.35,0.25,10000,1,1,10000-0,6.318993726801788,1,Bernoulli,SNIPE(1),1.8629144836706768,-4.456079243131112,19.85664222106394,-0.7051881099724485
13,0.35,0.25,10000,1,1,10000-0,6.318993726801788,1,Bernoulli,Lin's,5.035669516346749,-1.2833242104550395,1.646921029140051,-0.2030899643105935
14,0.35,0.25,10000,1,1,10000-0,6.318993726801788,1,Bernoulli,DM,5.057585938364414,-1.2614077884373742,1.5911496087304675,-0.1996216237859451
15,0.35,0.5,10000,1,1,10000-0,7.635518162540379,1,Bernoulli,Reg,4.831683813630206,-2.803834348910173,7.861487056128533,-0.3672094400437287
16,0.35,0.5,10000,1,1,10000-0,7.635518162540379,1,Bernoulli,VIM,5.279462945989248,-2.3560552165511317,5.550996183437798,-0.3085652036177279
17,0.35,0.5,10000,1,1,10000-0,7.635518162540379,1,Bernoulli,SNIPE(1),1.1598245740144997,-6.475693588525879,41.93460745247518,-0.8481013928164609
18,0.35,0.5,10000,1,1,10000-0,7.635518162540379,1,Bernoulli,Lin's,5.082615015790968,-2.5529031467494105,6.517314476683042,-0.3343457631040518
19,0.35,0.5,10000,1,1,10000-0,7.635518162540379,1,Bernoulli,DM,5.1091339323739335,-2.526384230166445,6.382617278433702,-0.3308726633067039
20,0.35,0.75,10000,1,1,10000-0,8.95204259827897,1,Bernoulli,Reg,4.998237999997317,-3.953804598281653,15.63257080139314,-0.4416650786538674
