Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,0.01,10000,2,1,10000-0,2.732834079443499,1,Bernoulli,Reg,2.824877687304123,0.0920436078606239,0.0084720257480003,0.0336806425801625
1,0.35,0.01,10000,2,1,10000-0,2.732834079443499,1,Bernoulli,VIM,2.917570314615457,0.1847362351719583,0.0341274765855091,0.0675987746792067
2,0.35,0.01,10000,2,1,10000-0,2.732834079443499,1,Bernoulli,SNIPE(2),3.215969941413801,0.4831358619703025,0.2334202611217872,0.176789313923034
3,0.35,0.01,10000,2,1,10000-0,2.732834079443499,1,Bernoulli,Lin's,3.186862121504268,0.4540280420607692,0.2061414629775356,0.1661381660438109
4,0.35,0.01,10000,2,1,10000-0,2.732834079443499,1,Bernoulli,DM,3.202572673068269,0.4697385936247702,0.220654346340577,0.1718869788539908
5,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,1,Bernoulli,Reg,2.9168668390914165,0.0042704814028029,1.823701141168585e-05,0.0014662112007143
6,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,1,Bernoulli,VIM,3.0119278034414343,0.0993314457528207,0.0098667361153455,0.0341040891198698
7,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,1,Bernoulli,SNIPE(2),3.330298041792089,0.4177016841034753,0.1744746969028794,0.1434121425719821
8,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,1,Bernoulli,Lin's,3.280074880578674,0.3674785228900603,0.1350404647854605,0.1261687092068208
9,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,1,Bernoulli,DM,3.296201166713012,0.3836048090243982,0.147152649506645,0.1317054483062048
10,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,1,Bernoulli,Reg,3.345358127165712,-0.0323657079151109,0.0010475390488462,-0.0095821060262425
11,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,1,Bernoulli,VIM,3.4439183606120416,0.0661945255312188,0.0043817152103031,0.0195973764473361
12,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,1,Bernoulli,SNIPE(2),3.800570965120993,0.4228471300401701,0.1787996953832085,0.1251870048251153
13,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,1,Bernoulli,Lin's,3.400237641466178,0.0225138063853553,0.0005068714779572,0.0066653780725139
14,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,1,Bernoulli,DM,3.4168204160277265,0.0390965809469037,0.0015285426417377,0.0115748305236944
15,0.35,0.5,10000,2,1,10000-0,4.16657131668092,1,Bernoulli,Reg,4.141065578502771,-0.0255057381781487,0.0006505426800122,-0.0061215172475354
16,0.35,0.5,10000,2,1,10000-0,4.16657131668092,1,Bernoulli,VIM,4.246168533798154,0.0795972171172341,0.0063357169728081,0.019103769278727
17,0.35,0.5,10000,2,1,10000-0,4.16657131668092,1,Bernoulli,SNIPE(2),4.668829908232529,0.5022585915516089,0.2522636927874059,0.1205448205196465
18,0.35,0.5,10000,2,1,10000-0,4.16657131668092,1,Bernoulli,Lin's,3.523415120084188,-0.6431561965967321,0.4136498932207743,-0.1543610195802597
19,0.35,0.5,10000,2,1,10000-0,4.16657131668092,1,Bernoulli,DM,3.5408586290143966,-0.6257126876665233,0.3915163675068642,-0.1501744816322895
20,0.35,0.75,10000,2,1,10000-0,4.945599748059879,1,Bernoulli,Reg,4.943429051443575,-0.0021706966163037,4.711923800032583e-06,-0.0004389147377232
21,0.35,0.75,10000,2,1,10000-0,4.945599748059879,1,Bernoulli,VIM,5.055671529465946,0.1100717814060674,0.012115797061905,0.0222565082120217
22,0.35,0.75,10000,2,1,10000-0,4.945599748059879,1,Bernoulli,SNIPE(2),5.545685901868304,0.6000861538084257,0.3601033919925895,0.1213373876533043
23,0.35,0.75,10000,2,1,10000-0,4.945599748059879,1,Bernoulli,Lin's,3.6031880591661714,-1.3424116888937072,1.8020691424784556,-0.2714355704624753
24,0.35,0.75,10000,2,1,10000-0,4.945599748059879,1,Bernoulli,DM,3.621523369602537,-1.3240763784573415,1.7531782559887097,-0.2677281716897464
25,0.35,1.0,10000,2,1,10000-0,5.71345444412177,1,Bernoulli,Reg,5.741054111166143,0.027599667044373,0.0007617416209602,0.004830644457622
26,0.35,1.0,10000,2,1,10000-0,5.71345444412177,1,Bernoulli,VIM,5.860749953497204,0.147295509375434,0.0216959670821685,0.025780464483615
27,0.35,1.0,10000,2,1,10000-0,5.71345444412177,1,Bernoulli,SNIPE(2),6.418694689607853,0.7052402454860829,0.4973638038532704,0.1234349993306872
28,0.35,1.0,10000,2,1,10000-0,5.71345444412177,1,Bernoulli,Lin's,3.660842135585452,-2.052612308536318,4.213217289154794,-0.3592594162797828
29,0.35,1.0,10000,2,1,10000-0,5.71345444412177,1,Bernoulli,DM,3.6800782476315432,-2.033376196490227,4.134618756453062,-0.3558926068942836
30,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,1,Bernoulli,Reg,6.796066484068366,0.0738818968215371,0.0054585346779482,0.0109907569276964
31,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,1,Bernoulli,VIM,6.925953740455649,0.2037691532088192,0.0415218677994392,0.0303129363027914
32,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,1,Bernoulli,SNIPE(2),7.574834550737925,0.8526499634910962,0.7270119602413677,0.1268412005687442
33,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,1,Bernoulli,Lin's,3.718172838769653,-3.004011748477176,9.0240865849889,-0.4468802826652985
34,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,1,Bernoulli,DM,3.7386143309054978,-2.983570256341332,8.901691474524679,-0.4438393825128948
35,0.35,2.0,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,Reg,8.882354756415276,0.184187605033852,0.0339250738481062,0.0211754501641877
36,0.35,2.0,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,VIM,9.033004107692507,0.3348369563110829,0.11211578731167,0.0384951163255013
37,0.35,2.0,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,SNIPE(2),9.863948039264551,1.1657808878831268,1.3590450785535717,0.1340260387727752
38,0.35,2.0,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,Lin's,3.7973406455491543,-4.90082650583227,24.01810044026813,-0.5634320909841254
39,0.35,2.0,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,DM,3.8201919417883095,-4.877975209593116,23.794642145405,-0.5608049517441621
40,0.35,3.0,10000,2,1,10000-0,11.583842302522113,1,Bernoulli,Reg,11.971495287463272,0.3876529849411589,0.1502748367337904,0.0334649742993097
41,0.35,3.0,10000,2,1,10000-0,11.583842302522113,1,Bernoulli,VIM,12.153610780106163,0.5697684775840504,0.3246361180484465,0.0491864843032261
42,0.35,3.0,10000,2,1,10000-0,11.583842302522113,1,Bernoulli,SNIPE(2),13.256845750095078,1.673003447572965,2.798940535591026,0.1444256062782128
43,0.35,3.0,10000,2,1,10000-0,11.583842302522113,1,Bernoulli,Lin's,3.8744090694334608,-7.709433233088652,59.43536077545175,-0.6655333378813437
44,0.35,3.0,10000,2,1,10000-0,11.583842302522113,1,Bernoulli,DM,3.900851464462453,-7.68299083805966,59.02834821770868,-0.6632506414893845
45,0.35,4.0,10000,2,1,10000-0,14.399011447106558,1,Bernoulli,Reg,15.031319239798249,0.6323077926916891,0.3998131446986361,0.0439132780062307
46,0.35,4.0,10000,2,1,10000-0,14.399011447106558,1,Bernoulli,VIM,15.2450461316443,0.8460346845377416,0.7157746874408759,0.0587564422492177
47,0.35,4.0,10000,2,1,10000-0,14.399011447106558,1,Bernoulli,SNIPE(2),16.619216511543634,2.220205064437076,4.929310528152041,0.1541914924224343
48,0.35,4.0,10000,2,1,10000-0,14.399011447106558,1,Bernoulli,Lin's,3.927924876813264,-10.471086570293297,109.6436539625766,-0.7272087121229028
49,0.35,4.0,10000,2,1,10000-0,14.399011447106558,1,Bernoulli,DM,3.9579170882582417,-10.441094358848316,109.01645141037412,-0.725125776668955
0,0.35,0.01,10000,2,1,10000-0,2.732834079443499,2,Bernoulli,Reg,3.9620665868012575,1.2292325073577597,1.511012557145044,0.4498013679659888
1,0.35,0.01,10000,2,1,10000-0,2.732834079443499,2,Bernoulli,VIM,3.8460047151749706,1.1131706357314717,1.2391488642548087,0.407331950411769
2,0.35,0.01,10000,2,1,10000-0,2.732834079443499,2,Bernoulli,SNIPE(2),3.67137252082221,0.9385384413787112,0.8808544059455806,0.3434304513539404
3,0.35,0.01,10000,2,1,10000-0,2.732834079443499,2,Bernoulli,Lin's,3.2428061614463792,0.5099720820028804,0.2600715244223525,0.1866092368500939
4,0.35,0.01,10000,2,1,10000-0,2.732834079443499,2,Bernoulli,DM,3.2990039033835434,0.5661698239400446,0.3205482695403011,0.2071731424160725
5,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,2,Bernoulli,Reg,3.91476047775583,1.0021641200672162,1.0043329235500975,0.34407930141838
6,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,2,Bernoulli,VIM,3.81248033065876,0.8998839729701467,0.8097911648085356,0.3089628161467176
7,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,2,Bernoulli,SNIPE(2),3.603940090626637,0.6913437329380234,0.4779561570726811,0.2373633858028518
8,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,2,Bernoulli,Lin's,3.357824248297784,0.4452278906091704,0.1982278745762914,0.1528628879294814
9,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,2,Bernoulli,DM,3.414978075107815,0.5023817174192016,0.2523873899970665,0.1724858702418632
10,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,2,Bernoulli,Reg,4.546724879118383,1.16900104403756,1.366563440960905,0.3460913624424798
11,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,2,Bernoulli,VIM,4.438122134262758,1.0603982991819354,1.1244445529079414,0.3139387205575266
12,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,2,Bernoulli,SNIPE(2),4.208097339381543,0.8303735043007201,0.689520156644658,0.2458381871473665
13,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,2,Bernoulli,Lin's,3.462101327968678,0.0843774928878553,0.00711956130604,0.0249805777522472
14,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,2,Bernoulli,DM,3.5210291382756704,0.1433053031948477,0.0205364099237672,0.0424265896774887
15,0.35,0.5,10000,2,1,10000-0,4.16657131668092,2,Bernoulli,Reg,5.709486926614151,1.5429156099332308,2.3805885793756336,0.3703082205160269
16,0.35,0.5,10000,2,1,10000-0,4.16657131668092,2,Bernoulli,VIM,5.593567880949349,1.4269965642684292,2.036319194433901,0.3424870128960545
17,0.35,0.5,10000,2,1,10000-0,4.16657131668092,2,Bernoulli,SNIPE(2),5.323142534450548,1.1565712177696277,1.3376569817731194,0.2775834444833046
18,0.35,0.5,10000,2,1,10000-0,4.16657131668092,2,Bernoulli,Lin's,3.5785881155824977,-0.5879832010984223,0.3457242447739477,-0.1411191976348572
19,0.35,0.5,10000,2,1,10000-0,4.16657131668092,2,Bernoulli,DM,3.6406322011317274,-0.5259391155491935,0.2766119532646678,-0.1262282763392503
20,0.35,0.75,10000,2,1,10000-0,4.945599748059879,2,Bernoulli,Reg,6.883065051972489,1.9374653039126104,3.753771803865183,0.3917553790463256
21,0.35,0.75,10000,2,1,10000-0,4.945599748059879,2,Bernoulli,VIM,6.761549338825099,1.8159495907652208,3.297672916200372,0.3671849084587979
22,0.35,0.75,10000,2,1,10000-0,4.945599748059879,2,Bernoulli,SNIPE(2),6.446642563582056,1.5010428155221778,2.2531295340307467,0.3035107756366709
23,0.35,0.75,10000,2,1,10000-0,4.945599748059879,2,Bernoulli,Lin's,3.6566017486109006,-1.288997999448978,1.6615158425834675,-0.2606353253626402
24,0.35,0.75,10000,2,1,10000-0,4.945599748059879,2,Bernoulli,DM,3.721821378150791,-1.2237783699090876,1.4976334986573436,-0.2474479198178475
25,0.35,1.0,10000,2,1,10000-0,5.71345444412177,2,Bernoulli,Reg,8.05033310511707,2.3368786609953007,5.46100187621519,0.4090132657659631
26,0.35,1.0,10000,2,1,10000-0,5.71345444412177,2,Bernoulli,VIM,7.923975793661349,2.2105213495395786,4.88640463677028,0.3868975190331396
27,0.35,1.0,10000,2,1,10000-0,5.71345444412177,2,Bernoulli,SNIPE(2),7.5624907391614835,1.8490362950397132,3.4189352203741903,0.3236284305971977
28,0.35,1.0,10000,2,1,10000-0,5.71345444412177,2,Bernoulli,Lin's,3.713341465272948,-2.000112978848822,4.000451928159508,-0.3500706968805218
29,0.35,1.0,10000,2,1,10000-0,5.71345444412177,2,Bernoulli,DM,3.781745234267699,-1.9317092098540711,3.73150047143504,-0.3380982956539525
30,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,2,Bernoulli,Reg,9.593955701678134,2.8717711144313043,8.247069333682015,0.427208012091718
31,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,2,Bernoulli,VIM,9.461769876541725,2.7395852892948955,7.505327557320997,0.4075438949552757
32,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,2,Bernoulli,SNIPE(2),9.036455155795773,2.3142705685489418,5.355848264451842,0.3442735822725727
33,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,2,Bernoulli,Lin's,3.769440710456697,-2.9527438767901324,8.71869640192162,-0.4392536144264781
34,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,2,Bernoulli,DM,3.842074240824607,-2.880110346422222,8.295035607568332,-0.428448565944812
