Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,5000,1,1,5000-0,14.53967409645214,1,Bernoulli,Reg,14.498339780152213,-0.0413343162999293,0.0017085257039826,-0.0028428640164648
1,0.35,2,5000,1,1,5000-0,14.53967409645214,1,Bernoulli,VIM,14.919298459749866,0.3796243632977258,0.1441146572092037,0.0261095510655468
2,0.35,2,5000,1,1,5000-0,14.53967409645214,1,Bernoulli,SNIPE(1),13.928045968300532,-0.611628128151608,0.3740889671462399,-0.042066151145771
3,0.35,2,5000,1,1,5000-0,14.53967409645214,1,Bernoulli,Lin's,4.910774637236987,-9.628899459215154,92.71570479567389,-0.6622500198656257
4,0.35,2,5000,1,1,5000-0,14.53967409645214,1,Bernoulli,DM,4.829432843114173,-9.710241253337967,94.2887851980265,-0.6678444914874252
5,0.35,2,6000,1,1,6000-0,14.780512241414064,1,Bernoulli,Reg,9.553222168799396,-5.227290072614668,27.32456150325586,-0.3536609548597463
6,0.35,2,6000,1,1,6000-0,14.780512241414064,1,Bernoulli,VIM,10.119003989350452,-4.661508252063612,21.72965918405715,-0.3153820500890598
7,0.35,2,6000,1,1,6000-0,14.780512241414064,1,Bernoulli,SNIPE(1),5.809483457843046,-8.971028783571018,80.47935743565971,-0.6069497888195485
8,0.35,2,6000,1,1,6000-0,14.780512241414064,1,Bernoulli,Lin's,4.939374863481832,-9.841137377932233,96.84798489133487,-0.665818424774074
9,0.35,2,6000,1,1,6000-0,14.780512241414064,1,Bernoulli,DM,4.665118610863822,-10.11539363055024,102.32118830097636,-0.6843736851154282
10,0.35,2,7000,1,1,7000-0,15.667267614735366,1,Bernoulli,Reg,10.270034019673297,-5.397233595062069,29.130130479666622,-0.344491057903796
11,0.35,2,7000,1,1,7000-0,15.667267614735366,1,Bernoulli,VIM,9.785960513196043,-5.881307101539321,34.58977322261684,-0.3753881816640343
12,0.35,2,7000,1,1,7000-0,15.667267614735366,1,Bernoulli,SNIPE(1),14.489292365761075,-1.1779752489742883,1.3876256871960364,-0.0751870254559499
13,0.35,2,7000,1,1,7000-0,15.667267614735366,1,Bernoulli,Lin's,4.714608804633854,-10.95265881010151,119.96073501049425,-0.6990790659502315
14,0.35,2,7000,1,1,7000-0,15.667267614735366,1,Bernoulli,DM,4.857066585987536,-10.81020102874783,116.86044628194064,-0.689986364857943
15,0.35,2,8000,1,1,8000-0,13.12219122475102,1,Bernoulli,Reg,8.887782005144148,-4.234409219606871,17.930221439091667,-0.3226907112601702
16,0.35,2,8000,1,1,8000-0,13.12219122475102,1,Bernoulli,VIM,8.330752479225742,-4.7914387455252765,22.957885252120835,-0.3651401403515356
17,0.35,2,8000,1,1,8000-0,13.12219122475102,1,Bernoulli,SNIPE(1),12.462466921194345,-0.6597243035566738,0.4352361567033382,-0.050275467889258
