Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,5000,2,1,5000-0,8.537465563685846,1,Bernoulli,Reg,6.906440400440186,-1.6310251632456598,2.6602430831405317,-0.1910432494373077
1,0.35,2,5000,2,1,5000-0,8.537465563685846,1,Bernoulli,VIM,9.90459233049135,1.3671267668055052,1.869035596516074,0.1601326244430883
2,0.35,2,5000,2,1,5000-0,8.537465563685846,1,Bernoulli,SNIPE(2),3.291208897164239,-5.246256666521607,27.5232090110224,-0.6144981350011632
3,0.35,2,5000,2,1,5000-0,8.537465563685846,1,Bernoulli,Lin's,3.756973344100148,-4.780492219585698,22.853105861519392,-0.5599427820733528
4,0.35,2,5000,2,1,5000-0,8.537465563685846,1,Bernoulli,DM,3.690961228776918,-4.846504334908928,23.488604268291027,-0.5676748326252183
5,0.35,2,6000,2,1,6000-0,8.692144171827673,1,Bernoulli,Reg,7.976117695728528,-0.7160264760991453,0.5126939144749598,-0.0823762770088279
6,0.35,2,6000,2,1,6000-0,8.692144171827673,1,Bernoulli,VIM,8.127091848349846,-0.5650523234778273,0.3192841282676912,-0.065007242437284
7,0.35,2,6000,2,1,6000-0,8.692144171827673,1,Bernoulli,SNIPE(2),4.963561649032627,-3.7285825227950458,13.902327629292667,-0.4289600412841572
8,0.35,2,6000,2,1,6000-0,8.692144171827673,1,Bernoulli,Lin's,3.695798192950056,-4.996345978877617,24.96347314064653,-0.5748116782360099
9,0.35,2,6000,2,1,6000-0,8.692144171827673,1,Bernoulli,DM,3.507731473306611,-5.1844126985210615,26.878135028586435,-0.5964480795572158
10,0.35,2,7000,2,1,7000-0,8.683440796519088,1,Bernoulli,Reg,6.717164657080132,-1.966276139438956,3.866241856526965,-0.2264397472747407
11,0.35,2,7000,2,1,7000-0,8.683440796519088,1,Bernoulli,VIM,7.312410401995346,-1.371030394523742,1.8797243427079275,-0.1578902219352199
12,0.35,2,7000,2,1,7000-0,8.683440796519088,1,Bernoulli,SNIPE(2),10.218041955783969,1.534601159264879,2.35500071801711,0.176727312965622
13,0.35,2,7000,2,1,7000-0,8.683440796519088,1,Bernoulli,Lin's,3.687010829631943,-4.9964299668871455,24.96431241400788,-0.5753974817091001
14,0.35,2,7000,2,1,7000-0,8.683440796519088,1,Bernoulli,DM,3.772510715935284,-4.910930080583804,24.117234256382847,-0.5655511675224916
15,0.35,2,8000,2,1,8000-0,7.995753307269692,1,Bernoulli,Reg,5.859951555117701,-2.135801752151991,4.561649124495515,-0.2671170145044536
16,0.35,2,8000,2,1,8000-0,7.995753307269692,1,Bernoulli,VIM,6.838861642137891,-1.156891665131801,1.3383983248514313,-0.1446882639663184
17,0.35,2,8000,2,1,8000-0,7.995753307269692,1,Bernoulli,SNIPE(2),10.330216240090513,2.334462932820819,5.44971718471438,0.2919628511672989
18,0.35,2,8000,2,1,8000-0,7.995753307269692,1,Bernoulli,Lin's,3.6293281254444274,-4.366425181825265,19.0656688684778,-0.5460930338927962
19,0.35,2,8000,2,1,8000-0,7.995753307269692,1,Bernoulli,DM,3.6739389353416767,-4.321814371928015,18.678079465403545,-0.5405137209521769
20,0.35,2,9000,2,1,9000-0,8.842411976238425,1,Bernoulli,Reg,8.186995706678449,-0.6554162695599768,0.4295704864039161,-0.0741218879329791
21,0.35,2,9000,2,1,9000-0,8.842411976238425,1,Bernoulli,VIM,8.447098703957813,-0.3953132722806121,0.1562725832412053,-0.0447064978812239
22,0.35,2,9000,2,1,9000-0,8.842411976238425,1,Bernoulli,SNIPE(2),8.118291745230984,-0.7241202310074417,0.5243501089542708,-0.0818917092930433
23,0.35,2,9000,2,1,9000-0,8.842411976238425,1,Bernoulli,Lin's,3.866547981844085,-4.975863994394341,24.75922249071,-0.5627270034200645
24,0.35,2,9000,2,1,9000-0,8.842411976238425,1,Bernoulli,DM,3.816573015885589,-5.025838960352836,25.259057255400474,-0.5683787380477645
25,0.35,2,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,Reg,8.882354756415276,0.184187605033852,0.0339250738481062,0.0211754501641877
26,0.35,2,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,VIM,9.033004107692507,0.3348369563110829,0.11211578731167,0.0384951163255013
27,0.35,2,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,SNIPE(2),9.863948039264551,1.1657808878831268,1.3590450785535717,0.1340260387727752
28,0.35,2,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,Lin's,3.797340645549156,-4.900826505832269,24.018100440268125,-0.5634320909841253
29,0.35,2,10000,2,1,10000-0,8.698167151381424,1,Bernoulli,DM,3.8201919417883103,-4.877975209593114,23.794642145404985,-0.5608049517441619
0,0.35,2,5000,2,1,5000-0,8.537465563685846,2,Bernoulli,Reg,9.981688276399588,1.444222712713742,2.0857792439182403,0.1691629327158578
1,0.35,2,5000,2,1,5000-0,8.537465563685846,2,Bernoulli,VIM,8.180804887391988,-0.356660676293858,0.1272068380143921,-0.0417759431804815
2,0.35,2,5000,2,1,5000-0,8.537465563685846,2,Bernoulli,SNIPE(2),17.612796229708152,9.075330666022309,82.36162669764488,1.0630005589274965
3,0.35,2,5000,2,1,5000-0,8.537465563685846,2,Bernoulli,Lin's,3.758630792451721,-4.778834771234125,22.837261770756317,-0.5597486438552589
4,0.35,2,5000,2,1,5000-0,8.537465563685846,2,Bernoulli,DM,4.532778706897057,-4.004686856788789,16.03751682093687,-0.469072094864165
5,0.35,2,6000,2,1,6000-0,8.692144171827673,2,Bernoulli,Reg,11.847553910086893,3.15540973825922,9.956610616301116,0.3630185689379495
6,0.35,2,6000,2,1,6000-0,8.692144171827673,2,Bernoulli,VIM,8.334725794359283,-0.3574183774683899,0.1277478965521364,-0.0411197019288782
7,0.35,2,6000,2,1,6000-0,8.692144171827673,2,Bernoulli,SNIPE(2),25.203960131596133,16.511815959768462,272.6400662892645,1.8996251826201092
8,0.35,2,6000,2,1,6000-0,8.692144171827673,2,Bernoulli,Lin's,3.975891856121178,-4.716252315706495,22.243035905406877,-0.5425879072499118
9,0.35,2,6000,2,1,6000-0,8.692144171827673,2,Bernoulli,DM,4.224606886317314,-4.467537285510359,19.958889397425263,-0.5139741354026555
10,0.35,2,7000,2,1,7000-0,8.683440796519088,2,Bernoulli,Reg,9.490005374505586,0.8065645779864976,0.650546418462537,0.0928853661684229
11,0.35,2,7000,2,1,7000-0,8.683440796519088,2,Bernoulli,VIM,9.35156246733735,0.6681216708182625,0.4463865670169866,0.0769420425007205
12,0.35,2,7000,2,1,7000-0,8.683440796519088,2,Bernoulli,SNIPE(2),7.624652718676446,-1.0587880778426424,1.1210321937817174,-0.1219318588856017
13,0.35,2,7000,2,1,7000-0,8.683440796519088,2,Bernoulli,Lin's,3.95299207075832,-4.730448725760768,22.377145147051674,-0.5447666238085084
14,0.35,2,7000,2,1,7000-0,8.683440796519088,2,Bernoulli,DM,3.8329315755668136,-4.850509220952274,23.527439702543035,-0.5585929972478982
15,0.35,2,8000,2,1,8000-0,7.995753307269692,2,Bernoulli,Reg,9.136247021296906,1.1404937140272144,1.3007259117355896,0.1426374314212876
16,0.35,2,8000,2,1,8000-0,7.995753307269692,2,Bernoulli,VIM,7.849434294340376,-0.1463190129293154,0.0214092535446091,-0.0182995907085181
17,0.35,2,8000,2,1,8000-0,7.995753307269692,2,Bernoulli,SNIPE(2),10.770322858820656,2.774569551550964,7.698236196393715,0.3470053971060289
18,0.35,2,8000,2,1,8000-0,7.995753307269692,2,Bernoulli,Lin's,3.3813784403719507,-4.614374866897741,21.292455412257542,-0.5771032058608384
19,0.35,2,8000,2,1,8000-0,7.995753307269692,2,Bernoulli,DM,3.3650510754366496,-4.630702231833043,21.443403159903525,-0.5791452104485059
20,0.35,2,9000,2,1,9000-0,8.842411976238425,2,Bernoulli,Reg,9.535555053096964,0.6931430768585383,0.4804473249969215,0.078388462188956
21,0.35,2,9000,2,1,9000-0,8.842411976238425,2,Bernoulli,VIM,9.553576577676964,0.71116460143854,0.5057550903392375,0.080426540105754
22,0.35,2,9000,2,1,9000-0,8.842411976238425,2,Bernoulli,SNIPE(2),7.854325641447905,-0.9880863347905208,0.9763146049997647,-0.1117439831400904
