Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.35,2,5000,2,1,5000-0,11.753684561565514,1,Bernoulli,Reg,7.7588309719286,-3.9948535896369135,15.958855202634933,-0.339880959771548
1,0.35,2,5000,2,1,5000-0,11.753684561565514,1,Bernoulli,VIM,8.565339805822525,-3.188344755742989,10.16554228147382,-0.2712634271442726
2,0.35,2,5000,2,1,5000-0,11.753684561565514,1,Bernoulli,SNIPE(2),5.192195433352623,-6.561489128212891,43.05313957965596,-0.5582495509254115
3,0.35,2,5000,2,1,5000-0,11.753684561565514,1,Bernoulli,Lin's,4.246271068179668,-7.507413493385846,56.36125736067186,-0.6387285156464934
4,0.35,2,5000,2,1,5000-0,11.753684561565514,1,Bernoulli,DM,4.155116025354399,-7.598568536211115,57.738243799497525,-0.646483959681749
5,0.35,2,6000,2,1,6000-0,11.44771536195153,1,Bernoulli,Reg,4.12115217643553,-7.326563185516001,53.67852811135837,-0.6400022147534438
6,0.35,2,6000,2,1,6000-0,11.44771536195153,1,Bernoulli,VIM,3.3692279634887856,-8.078487398462745,65.26195864712136,-0.705685557601563
7,0.35,2,6000,2,1,6000-0,11.44771536195153,1,Bernoulli,SNIPE(2),-3.661292958314165,-15.109008320265694,228.282132421858,-1.3198273928510755
8,0.35,2,6000,2,1,6000-0,11.44771536195153,1,Bernoulli,Lin's,3.944167780790373,-7.503547581161158,56.30322630274946,-0.6554624520190728
9,0.35,2,6000,2,1,6000-0,11.44771536195153,1,Bernoulli,DM,3.7337850426753834,-7.713930319276148,59.50472097064782,-0.673840157217285
10,0.35,2,7000,2,1,7000-0,12.137756683496011,1,Bernoulli,Reg,10.348487086594805,-1.789269596901207,3.201485690395007,-0.1474135331229796
11,0.35,2,7000,2,1,7000-0,12.137756683496011,1,Bernoulli,VIM,9.451318858218231,-2.68643782527778,7.216948189083208,-0.2213290227617259
12,0.35,2,7000,2,1,7000-0,12.137756683496011,1,Bernoulli,SNIPE(2),16.41323532297327,4.27547863947726,18.279717596626323,0.3522461976265126
13,0.35,2,7000,2,1,7000-0,12.137756683496011,1,Bernoulli,Lin's,4.04041086453278,-8.09734581896323,65.5670093118813,-0.6671204597447055
14,0.35,2,7000,2,1,7000-0,12.137756683496011,1,Bernoulli,DM,4.14224345328282,-7.995513230213191,63.92823181451418,-0.658730722546521
15,0.35,2,8000,2,1,8000-0,11.492891916726522,1,Bernoulli,Reg,5.317337898721043,-6.17555401800548,38.137467429303626,-0.5373368219897469
16,0.35,2,8000,2,1,8000-0,11.492891916726522,1,Bernoulli,VIM,5.699937712355626,-5.792954204370896,33.558318413938444,-0.5040466965446658
17,0.35,2,8000,2,1,8000-0,11.492891916726522,1,Bernoulli,SNIPE(2),9.149323009441414,-2.3435689072851087,5.492315223193518,-0.2039146390887332
18,0.35,2,8000,2,1,8000-0,11.492891916726522,1,Bernoulli,Lin's,3.9418023463013503,-7.551089570425172,57.01895370058381,-0.657022586233102
19,0.35,2,8000,2,1,8000-0,11.492891916726522,1,Bernoulli,DM,3.99767598054945,-7.495215936177072,56.17826192992274,-0.6521610044264565
20,0.35,2,9000,2,1,9000-0,11.89925762443622,1,Bernoulli,Reg,11.188180662936585,-0.711076961499634,0.5056304451755519,-0.0597580944914892
