Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.1,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Reg,12.379264625703946,-3.370245797678079,11.35855673676675,-0.213990511900265
1,0.1,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,VIM,11.879243996690194,-3.870266426691831,14.978962213577956,-0.2457388402972805
2,0.1,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,SNIPE(1),19.2253914095918,3.475880986209772,12.081748630294616,0.2206977164858034
3,0.1,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Lin's,5.405300805393065,-10.34420961798896,107.00267262089532,-0.6567956298268007
4,0.1,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,DM,5.8473453920968606,-9.902165031285165,98.05287230680672,-0.6287284344143308
5,0.15,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Reg,13.721406548909982,-2.028103874472043,4.113205325648512,-0.1287725027605354
6,0.15,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,VIM,13.967823289819911,-1.781687133562114,3.1744090419007827,-0.1131265090575125
7,0.15,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,SNIPE(1),11.847401884822924,-3.902108538559101,15.226451046695846,-0.2477606245312842
8,0.15,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Lin's,5.470514900203315,-10.278995523178711,105.657748965528,-0.6526549236678695
9,0.15,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,DM,5.40432272632391,-10.345187697058115,107.0229084873626,-0.6568577320155585
10,0.2,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Reg,10.488779885858206,-5.26073053752382,27.67528578843566,-0.3340250202135578
11,0.2,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,VIM,12.405272540436686,-3.34423788294534,11.183927017726727,-0.2123391643958926
12,0.2,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,SNIPE(1),0.6499596877158834,-15.099550735666142,227.99643241895592,-0.9587314354387206
13,0.2,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Lin's,5.135596220784828,-10.613914202597195,112.65517470009448,-0.6739202627428709
14,0.2,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,DM,4.9011791936757305,-10.848331229706297,117.6862904694209,-0.6888043461719708
15,0.25,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Reg,14.993213130373002,-0.7562972930090233,0.5719855954127764,-0.0480203684227675
16,0.25,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,VIM,15.396650060747794,-0.3528603626342317,0.1245104355183615,-0.0224045289757304
17,0.25,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,SNIPE(1),13.259798856148867,-2.489711567233156,6.198663688014579,-0.1580818387558817
18,0.25,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Lin's,4.980912074929121,-10.768598348452905,115.96271039030265,-0.683741783647169
