Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.1,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Reg,17.546349510071565,5.958330994002845,35.50170823409493,0.5141803135489148
1,0.1,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,VIM,17.576575796749594,5.988557280680874,35.86281830399591,0.5167887221078169
2,0.1,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,SNIPE(2),38.20688069615064,26.618862180081912,708.5638237621952,2.297102144181977
3,0.1,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Lin's,4.021646918816992,-7.566371597251728,57.24997914769767,-0.6529478345896403
4,0.1,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,DM,4.3508059877362335,-7.237212528332487,52.3772451802527,-0.6245427135188716
5,0.15,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Reg,8.545545171570467,-3.042473344498253,9.256644051982386,-0.2625533727167726
6,0.15,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,VIM,6.43882002341676,-5.14919849265196,26.51424511672922,-0.4443553904847268
7,0.15,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,SNIPE(2),27.795738038663373,16.20771952259465,262.6901721230958,1.3986618592402096
8,0.15,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Lin's,4.038667781784823,-7.549350734283897,56.99269650923282,-0.6514790016787998
9,0.15,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,DM,4.008955623819895,-7.5790628922488255,57.442194324663134,-0.654043042970564
10,0.2,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Reg,5.0879185793211485,-6.500099936747572,42.25129918770578,-0.5609328227888227
11,0.2,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,VIM,4.98141456191499,-6.60660395415373,43.6472158070397,-0.5701236967297362
12,0.2,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,SNIPE(2),9.979772811033886,-1.6082457050348342,2.586454247762991,-0.138785220510714
13,0.2,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Lin's,4.090476911166949,-7.497541604901771,56.21313011723303,-0.6470080794663194
14,0.2,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,DM,3.95355830276369,-7.63446021330503,58.28498274853749,-0.6588236118814083
15,0.25,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Reg,7.813672516675951,-3.774345999392769,14.2456877231322,-0.325711077710051
16,0.25,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,VIM,6.910737095405982,-4.677281420662738,21.876961488076844,-0.4036308204182542
17,0.25,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,SNIPE(2),15.97609946981262,4.3880809537438985,19.25525445660996,0.3786739680868728
18,0.25,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Lin's,4.227245263607326,-7.360773252461394,54.18098287415109,-0.6352055135443954
19,0.25,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,DM,4.312061666661148,-7.275956849407572,52.93954807444096,-0.6278861946344186
20,0.3,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Reg,7.274044241051944,-4.313974275016776,18.61037404550652,-0.3722788558746892
21,0.3,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,VIM,6.2716528621163175,-5.316365653952403,28.26374376652476,-0.4587812529450462
22,0.3,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,SNIPE(2),14.09413209567744,2.506113579608721,6.280605273899237,0.2162676540543645
23,0.3,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Lin's,4.033327966341957,-7.554690549726763,57.07334930213086,-0.6519398065554456
24,0.3,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,DM,4.142064332308266,-7.445954183760454,55.44223370665981,-0.6425562897949634
25,0.4,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Reg,7.638956146726938,-3.949062369341783,15.595093596951331,-0.3407884069106162
26,0.4,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,VIM,7.88391549219509,-3.70410302387363,13.720379211469773,-0.3196493877479807
27,0.4,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,SNIPE(2),6.975046935963181,-4.61297158010554,21.2795067988614,-0.3980811364521799
28,0.4,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Lin's,3.959677955117975,-7.628340560950745,58.19157971384633,-0.6582955101748222
29,0.4,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,DM,4.0593187340122565,-7.528699782056464,56.68132040833704,-0.6496969064742748
30,0.5,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Reg,10.5245530098096,-1.063465506259119,1.1309588830029642,-0.0917728518283299
31,0.5,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,VIM,10.6895488050563,-0.8984697110124209,0.8072478216067431,-0.0775343696393428
32,0.5,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,SNIPE(2),9.862969183643946,-1.7250493324247742,2.975795199299159,-0.1488649099095506
33,0.5,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,Lin's,3.9757553123180127,-7.612263203750707,57.946551083176985,-0.6569080980665534
34,0.5,2,10000,2,1,10000-0,11.58801851606872,1,Bernoulli,DM,4.195967107366704,-7.392051408702017,54.642424028893466,-0.6379046942712169
0,0.1,2,10000,2,1,10000-0,11.58801851606872,2,Bernoulli,Reg,5.581712436524439,-6.006306079544281,36.07571272117059,-0.5183203729969482
1,0.1,2,10000,2,1,10000-0,11.58801851606872,2,Bernoulli,VIM,7.607074589120296,-3.980943926948424,15.847914549507536,-0.3435396587801599
2,0.1,2,10000,2,1,10000-0,11.58801851606872,2,Bernoulli,SNIPE(2),-2.3369138962581597,-13.92493241232688,193.90374268787167,-1.2016663930090927
3,0.1,2,10000,2,1,10000-0,11.58801851606872,2,Bernoulli,Lin's,4.02935385397393,-7.55866466209479,57.13341147400055,-0.6522827566778083
4,0.1,2,10000,2,1,10000-0,11.58801851606872,2,Bernoulli,DM,3.674063528394568,-7.913954987674153,62.6306835469326,-0.6829429014719068
5,0.15,2,10000,2,1,10000-0,11.58801851606872,2,Bernoulli,Reg,8.202732809648374,-3.385285706420346,11.4601593140939,-0.2921367187777688
6,0.15,2,10000,2,1,10000-0,11.58801851606872,2,Bernoulli,VIM,12.89117442359223,1.303155907523509,1.6982153193134206,0.1124571820209353
7,0.15,2,10000,2,1,10000-0,11.58801851606872,2,Bernoulli,SNIPE(2),-5.741743034143519,-17.32976155021224,300.3206353872145,-1.4954896323458264
